"","focal.species","plot","treatment","subplot","mature","immature","total.fecundity","Daucus glochidiatus","Hyalosperma glutinosum","Plantago debilis","Podolepis canescens","Trachymene cyanopetala","Velleia rosea","Medicago minima","Pentameris airoides","intra","other"
"51","Arctotheca calendula",6,"C",2,68,3,71,0,0,0,0,0,0,0,0,0,0
"52","Arctotheca calendula",4,"E",3,68,15,83,0,0,0,0,0,0,0,0,0,0
"53","Arctotheca calendula",2,"C",2,70,0,70,0,0,0,0,0,0,0,0,0,13
"54","Arctotheca calendula",5,"E",1,77,0,77,0,0,0,0,0,0,0,0,0,0
"55","Arctotheca calendula",2,"C",1,80,13,93,0,0,0,0,0,0,0,0,0,7
"56","Arctotheca calendula",12,"C",2,81,3,84,0,0,0,0,0,0,0,0,4,24
"57","Arctotheca calendula",5,"E",3,81,16,97,0,0,0,0,0,0,0,0,0,0
"58","Arctotheca calendula",16,"C",3,82,4,86,0,0,0,0,0,0,0,0,0,0
"59","Arctotheca calendula",3,"E",3,83,27,110,0,0,0,0,0,0,0,0,0,0
"60","Arctotheca calendula",15,"C",3,90,0,90,0,0,0,0,0,0,0,0,2,7
"61","Arctotheca calendula",8,"E",2,92,1,93,0,0,0,0,0,0,0,0,0,0
"62","Arctotheca calendula",11,"C",1,92,2,94,0,0,0,0,0,0,0,0,1,5
"63","Arctotheca calendula",15,"E",1,100,14,114,0,0,0,0,0,0,0,0,0,0
"64","Arctotheca calendula",3,"C",3,104,0,104,0,0,0,0,0,0,0,2,4,9
"65","Arctotheca calendula",11,"E",2,107,6,113,0,0,0,0,0,0,0,0,0,0
"66","Arctotheca calendula",6,"C",3,118,8,126,0,0,0,0,0,2,0,0,2,6
"67","Arctotheca calendula",16,"E",2,121,9,130,0,0,0,0,0,0,0,0,0,0
"68","Arctotheca calendula",6,"E",3,163,2,165,0,0,0,0,0,0,0,0,0,0
"69","Arctotheca calendula",15,"E",3,163,22,185,0,0,0,0,0,0,0,0,0,0
"70","Arctotheca calendula",8,"E",1,179,21,200,0,0,0,0,0,0,0,0,0,0
"71","Arctotheca calendula",2,"E",1,179,35,214,0,0,0,0,0,0,0,0,0,0
"72","Arctotheca calendula",5,"E",2,183,2,185,0,0,0,0,0,0,0,0,0,0
"73","Arctotheca calendula",12,"C",3,186,17,203,0,0,0,0,0,0,0,0,4,23
"74","Arctotheca calendula",15,"C",2,197,0,197,0,0,0,0,0,0,0,0,0,6
"75","Arctotheca calendula",16,"E",3,221,5,226,0,0,0,0,0,0,0,0,0,0
"76","Arctotheca calendula",11,"C",3,223,9,232,0,0,0,0,0,0,0,0,2,5
"77","Arctotheca calendula",14,"C",1,232,4,236,0,0,0,0,0,0,0,0,0,7
"78","Arctotheca calendula",15,"C",1,258,10,268,0,0,0,0,0,0,0,0,0,6
"79","Arctotheca calendula",5,"C",3,278,23,301,0,0,0,0,0,0,0,6,2,13
"80","Arctotheca calendula",11,"E",1,279,4,283,0,0,0,0,0,0,0,0,0,0
"81","Arctotheca calendula",11,"E",3,316,2,318,0,0,0,0,0,0,0,0,0,0
"82","Arctotheca calendula",6,"E",2,389,41,430,0,0,0,0,0,0,0,0,0,0
"83","Arctotheca calendula",11,"C",2,420,20,440,0,0,0,0,0,0,0,0,1,7
"84","Arctotheca calendula",3,"E",2,492,51,543,0,0,0,0,0,0,0,0,0,0
"85","Arctotheca calendula",14,"E",2,599,13,612,0,0,0,0,0,0,0,0,0,0
"86","Arctotheca calendula",2,"E",2,838,56,894,0,0,0,0,0,0,0,0,0,0
"87","Arctotheca calendula",14,"E",1,840,24,864,0,0,0,0,0,0,0,0,0,0
"88","Arctotheca calendula",14,"C",2,849,6,855,0,0,0,0,0,0,0,0,0,9
