focal.species,plot,treatment,subplot,mature,immature,survival.to.reproduction,notes,inflorescences,inviable
Daucus glochidiatus,6,E,2,6,NA,yes,immatures not counted,NA,NA
Daucus glochidiatus,6,E,3,9,NA,yes,immatures not counted,NA,NA
Daucus glochidiatus,6,C,1,25,NA,yes,immatures not counted,NA,NA
Daucus glochidiatus,6,C,2,3,NA,yes,immatures not counted,NA,NA
Daucus glochidiatus,6,C,3,9,NA,yes,immatures not counted,NA,NA
Medicago minima,15,C,1,6,NA,yes,kangaroo jumped on,NA,NA
Medicago minima,9,E,1,NA,NA,yes,medicago polymorpha,NA,NA
Medicago minima,9,E,2,NA,NA,yes,medicago polymorpha,NA,NA
Medicago minima,9,E,3,NA,NA,yes,medicago polymorpha,NA,NA
Medicago minima,9,C,1,NA,NA,yes,medicago polymorpha,NA,NA
Medicago minima,9,C,2,NA,NA,yes,medicago polymorpha,NA,NA
Medicago minima,9,C,3,NA,NA,yes,medicago polymorpha,NA,NA
Medicago minima,10,E,3,NA,NA,yes,medicago polymorpha,NA,NA
Medicago minima,12,E,3,NA,NA,yes,medicago polymorpha,NA,NA
Medicago minima,16,E,2,NA,NA,yes,medicago polymorpha,NA,NA
Arctotheca calendula,1,E,2,NA,NA,NA,missing,NA,NA
Arctotheca calendula,1,E,3,NA,NA,NA,missing,NA,NA
Arctotheca calendula,1,C,3,NA,NA,NA,missing,NA,NA
Arctotheca calendula,7,E,3,NA,NA,NA,missing,NA,NA
Arctotheca calendula,7,C,3,NA,NA,NA,missing,NA,NA
Daucus glochidiatus,2,C,1,NA,NA,NA,missing,NA,NA
Daucus glochidiatus,5,E,2,NA,NA,NA,missing,NA,NA
Daucus glochidiatus,5,C,3,NA,NA,NA,missing,NA,NA
Hyalosperma glutinosum,2,C,3,NA,NA,NA,missing,NA,NA
Hyalosperma glutinosum,10,C,3,NA,NA,yes,missing,NA,NA
Pentameris airoides,1,E,3,NA,NA,NA,missing,NA,NA
Pentameris airoides,3,C,1,NA,NA,NA,missing,NA,NA
Pentameris airoides,11,C,1,NA,NA,NA,missing,NA,NA
Pentameris airoides,13,E,1,NA,NA,NA,missing,NA,NA
Podolepis canescens,5,C,2,NA,NA,NA,missing,NA,NA
Podolepis canescens,6,C,3,NA,NA,NA,missing,NA,NA
Trachymene cyanopetala,9,E,2,NA,NA,NA,missing,NA,NA
Trachymene cyanopetala,10,C,1,NA,NA,NA,missing,NA,NA
Trachymene cyanopetala,10,C,3,NA,NA,NA,missing,NA,NA
Trachymene cyanopetala,21,C,1,NA,NA,NA,missing,NA,NA
Trachymene cyanopetala,22,E,3,NA,NA,NA,missing,NA,NA
Trachymene ornata,10,C,1,NA,NA,NA,missing,NA,NA
Trachymene ornata,10,C,3,NA,NA,NA,missing,NA,NA
Trachymene ornata,12,E,3,NA,NA,NA,missing,NA,NA
Trachymene ornata,12,C,1,NA,NA,NA,missing,NA,NA
Trachymene ornata,21,C,1,NA,NA,NA,missing,NA,NA
Trachymene ornata,22,E,3,NA,NA,NA,missing,NA,NA
Velleia rosea,1,E,1,NA,NA,NA,missing,NA,NA
Velleia rosea,2,E,2,NA,NA,NA,missing,NA,NA
Trachymene ornata,9,E,2,NA,NA,NA,missing ,NA,NA
Arctotheca calendula,1,E,1,0,0,no,NA,NA,NA
Arctotheca calendula,1,C,1,66,21,yes,NA,NA,NA
Arctotheca calendula,1,C,2,0,0,no,NA,NA,NA
Arctotheca calendula,2,E,1,179,35,yes,NA,NA,NA
Arctotheca calendula,2,E,2,838,56,yes,NA,NA,NA
Arctotheca calendula,2,E,3,17,0,yes,NA,NA,NA
Arctotheca calendula,2,C,1,80,13,yes,NA,NA,NA
Arctotheca calendula,2,C,2,70,0,yes,NA,NA,NA
Arctotheca calendula,2,C,3,65,5,yes,NA,NA,NA
Arctotheca calendula,3,E,1,29,0,yes,NA,NA,NA
Arctotheca calendula,3,E,2,492,51,yes,NA,NA,NA
Arctotheca calendula,3,E,3,83,27,yes,NA,NA,NA
Arctotheca calendula,3,C,1,6,0,yes,NA,NA,NA
Arctotheca calendula,3,C,2,0,0,yes,NA,NA,NA
Arctotheca calendula,3,C,3,104,0,yes,NA,NA,NA
Arctotheca calendula,4,E,1,14,0,yes,NA,NA,NA
Arctotheca calendula,4,E,2,49,15,yes,NA,NA,NA
Arctotheca calendula,4,E,3,68,15,yes,NA,NA,NA
Arctotheca calendula,4,C,1,18,3,yes,NA,NA,NA
Arctotheca calendula,4,C,2,32,5,yes,NA,NA,NA
Arctotheca calendula,4,C,3,19,1,yes,NA,NA,NA
Arctotheca calendula,5,E,1,77,0,yes,NA,NA,NA
Arctotheca calendula,5,E,2,183,2,yes,NA,NA,NA
Arctotheca calendula,5,E,3,81,16,yes,NA,NA,NA
Arctotheca calendula,5,C,1,13,2,yes,NA,NA,NA
Arctotheca calendula,5,C,2,37,0,yes,NA,NA,NA
Arctotheca calendula,5,C,3,278,23,yes,NA,NA,NA
Arctotheca calendula,6,E,1,20,1,yes,NA,NA,NA
Arctotheca calendula,6,E,2,389,41,yes,NA,NA,NA
Arctotheca calendula,6,E,3,163,2,yes,NA,NA,NA
Arctotheca calendula,6,C,2,68,3,yes,NA,NA,NA
Arctotheca calendula,6,C,3,118,8,yes,NA,NA,NA
Arctotheca calendula,7,E,1,23,13,yes,NA,NA,NA
Arctotheca calendula,7,E,2,0,0,yes,NA,NA,NA
Arctotheca calendula,7,C,1,0,0,no,NA,NA,NA
Arctotheca calendula,7,C,2,23,7,yes,NA,NA,NA
Arctotheca calendula,8,E,1,179,21,yes,NA,NA,NA
Arctotheca calendula,8,E,2,92,1,yes,NA,NA,NA
Arctotheca calendula,8,E,3,23,7,yes,NA,NA,NA
Arctotheca calendula,8,C,1,0,0,yes,NA,NA,NA
Arctotheca calendula,8,C,2,25,8,yes,NA,NA,NA
Arctotheca calendula,8,C,3,32,3,yes,NA,NA,NA
Arctotheca calendula,9,E,1,7,4,yes,NA,NA,NA
Arctotheca calendula,9,E,2,15,2,yes,NA,NA,NA
Arctotheca calendula,9,E,3,20,5,yes,NA,NA,NA
Arctotheca calendula,9,C,1,1,1,yes,NA,NA,NA
Arctotheca calendula,9,C,2,22,2,yes,NA,NA,NA
Arctotheca calendula,9,C,3,4,0,yes,NA,NA,NA
Arctotheca calendula,10,E,1,1,0,yes,NA,NA,NA
Arctotheca calendula,10,E,2,0,0,yes,NA,NA,NA
Arctotheca calendula,10,E,3,3,3,yes,NA,NA,NA
Arctotheca calendula,10,C,1,0,0,yes,NA,NA,NA
Arctotheca calendula,10,C,2,7,2,yes,NA,NA,NA
Arctotheca calendula,10,C,3,6,0,yes,NA,NA,NA
Arctotheca calendula,11,E,1,279,4,yes,NA,NA,NA
